Name,Brand,Gender,Year,Rating Value,Rating Count,Main Accords,Perfumers,Top Notes,Middle Notes,Base Notes,Longevity,Sillage,Description,Image URL,URL
Amber Queen,A Dozen Roses,for women,2012,3.77,96,"citrus,rose,fruity,sweet,floral,warm spicy,amber,powdery,lactonic",Lynn Emmolo,"Apricot,Clementine,Ginger","Damask Rose,Rose",N/A,N/A,N/A,"Amber Queen by A Dozen Roses is a Oriental Floral fragrance for women.Amber Queenwas launched in 2012. The nose behind this fragrance is Lynn Emmolo. Top notes are Apricot, Clementine and Ginger; middle notes are Damask Rose and Rose; base note is Amber.",https://fimgs.net/mdimg/perfume/375x500.15524.jpg,https://www.fragrantica.com/perfume/A-Dozen-Roses/Amber-Queen-15524.html
Electron,A Dozen Roses,for women,2012,3.65,92,"ozonic,rose,green,musky,aquatic,floral,powdery,fresh,sweet",Lynn Emmolo,"The scent is linear,weak,the ingredients are extremely commercial,after trying it it's not worth the money 💰,the coffee scent is not there.",N/A,N/A,N/A,N/A,"Electron by A Dozen Roses is a Floral Fruity fragrance for women.Electronwas launched in 2012. The nose behind this fragrance is Lynn Emmolo. Electron is inspired by the Electric Pink Rose and named ELECTRON. The fragrance is bright, fresh and clean. ""A shock to the senses. ELECTRON is a stunning combination of Electric Pink Rose blended with a jolt of green tea, violet leaves and cattalyea orchid then supercharged with neon musk, and A Dozen Roses' signature rose absolute."" ADR Press Release ELECTRON is available exclusively at Neiman Marcus and Bergdorf Goodman on February 12th. It retails for $95 (3.4 fl. oz.).",https://fimgs.net/mdimg/perfume/375x500.14300.jpg,https://www.fragrantica.com/perfume/A-Dozen-Roses/Electron-14300.html
Casablanca,A la Façon London,for men,1974,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,Casablanca by A la Façon Londonis a fragrance for men.Casablancawas launched in 1974.,https://fimgs.net/mdimg/perfume/375x500.49627.jpg,https://www.fragrantica.com/perfume/A-la-Facon-London/Casablanca-49627.html
Sucre Blanc,A Beautiful Life Brands,for women and men,N/A,4.67,3,"warm spicy,cinnamon,vanilla,fresh spicy,sweet,powdery,musky",,N/A,N/A,N/A,N/A,N/A,"Sucre Blanc by A Beautiful Life Brands is a fragrance for women and men. ""A delicious and warm accord - milk sugar, vanilla and seductive musk meld with a touch of cassia (cinnamon) and white pepper."" - a note from the brand.",https://fimgs.net/mdimg/perfume/375x500.47833.jpg,https://www.fragrantica.com/perfume/A-Beautiful-Life-Brands/Sucre-Blanc-47833.html
Angel Face,A Dozen Roses,for women,2013,3.97,106,"floral,woody,fruity,rose,fresh,aromatic,earthy,patchouli,green,violet",Lynn Emmolo,"Black Currant,Apple","Rose,Violet,Peony,Lilac,Jasmine","Vetiver,Patchouli,Tonka Bean",N/A,N/A,"Angel Face by A Dozen Roses is a Floral Fruity fragrance for women.Angel Facewas launched in 2013. The nose behind this fragrance is Lynn Emmolo. Top notes are Black Currant and Apple; middle notes are Rose, Violet, Peony, Lilac and Jasmine; base notes are Vetiver, Patchouli and Tonka Bean. Angel Face is the newest rose in the bouquet of A Dozen Roses. The fragrance was inspired by the Angel Face rose, a tea rose hybrid known for its striking lavender-blue colored blossoms and intense citrus-fruity aroma. Angel Face by A Dozen Roses is a Floral Fruity fragrance for women. This is anew fragrance. Angel Face was launched in 2013. The fragrance is an Eau de Parfum available in 100 ml/3.4 oz. bottles. Top notes are black currant and apple; middle notes are peony, violet, jasmine, lilac and the signature A Dozen Roses rose absolute; base notes are patchouli, roasted tonka bean and vetiver.",https://fimgs.net/mdimg/perfume/375x500.18588.jpg,https://www.fragrantica.com/perfume/A-Dozen-Roses/Angel-Face-18588.html
Gold Rush,A Dozen Roses,for women,2011,3.93,147,"woody,sweet,rose,warm spicy,yellow floral,fruity,chocolate,white floral,floral,citrus",Lynn Emmolo,N/A,N/A,I've waited to review it until i tested it more times. When i first smelled the tester it felt exrremelly resinous and woody. Woody like a wood burning in the fireplace. Interesting but definitely not suitable for a perfume in my perception and definitely not appealing at all. A few hours...,N/A,N/A,"Gold Rush by A Dozen Roses is a Oriental Floral fragrance for women.Gold Rushwas launched in 2011. The nose behind this fragrance is Lynn Emmolo. ""All the glisters is not gold"" William Shakespeare The yellow color is quite exotic in the world of roses as it attracts attention with a so far yet to be experienced combination of olfactive impressions. A teasing sour-sweet blackberry dipped in chocolate invites you to explore all the layers of this sweet woody-floral fragrance poured with golden spicy dust. This fragrance is not about dewy morning rose, its sweet and spicy character works better for a romantic night.",https://fimgs.net/mdimg/perfume/375x500.12963.jpg,https://www.fragrantica.com/perfume/A-Dozen-Roses/Gold-Rush-12963.html
Iced White,A Dozen Roses,for women,2011,3.56,82,"floral,rose,musky,fresh,fruity,powdery",Lynn Emmolo,N/A,"Peony,Rose,Osmanthus,Primrose","Musk,Vanille",N/A,N/A,"Iced White by A Dozen Roses is a Floral fragrance for women.Iced Whitewas launched in 2011. The nose behind this fragrance is Lynn Emmolo. middle notes are Peony, Rose, Osmanthus and Primrose; base notes are Musk and Vanille. ""All that we see or seem is but a dream within a dream"" Edgar Allen Poe Iced White is a harmonious chorus of pure white blooms - the rose being one of them. It's now innocent and fragile, hidden in the cool shade of a green garden. The most discreet of all three, it doesn't explore new horizons, it just reveals the astonishing beauty of white flowers in a very elegant way.",https://fimgs.net/mdimg/perfume/375x500.12961.jpg,https://www.fragrantica.com/perfume/A-Dozen-Roses/Iced-White-12961.html
Moonlight Cypress,A La Lune,for women and men,2021,3.00,2,"aromatic,woody,fresh spicy,earthy,musky",,"Juniper,Sage","Cade oil,Cypriol Oil or Nagarmotha","Juniper,White Musk",N/A,N/A,"Moonlight Cypress by A La Lune is a Aromatic fragrance for women and men.Moonlight Cypresswas launched in 2021. Top notes are Juniper and Sage; middle notes are Cade oil and Cypriol Oil or Nagarmotha; base notes are Juniper and White Musk. Moonlight Cypress- Incense of Tibetan Ritual The sacred lake is under the blessing of moonlight, surrounded by the snow-capped mountains where Sabina Przewalskii is found. Immersed in the reverence of Moonlight Cypress with the burning incense of “Weisang” ritual and pure air of Tibet. At night, every mountain, every river is imbued with divinity. Strolling with A La Lune to the sacred lake beneath the glaciers, it mirrors the pines, cypresses and the blooming wildflowers. Moonlight Cypress Eau de Toilette, the memory of moonlight, starts a pilgrimage to another world.",https://fimgs.net/mdimg/perfume/375x500.81282.jpg,https://www.fragrantica.com/perfume/A-La-Lune/Moonlight-Cypress-81282.html
Vrai Vert,A Beautiful Life Brands,for women and men,N/A,3.00,2,"aromatic,yellow floral,green,ozonic,aquatic,herbal,soft spicy,citrus,lavender,fresh spicy",,Portobello Road is a fantastic market... what the notes and colours used in this campaign have to do with it I'd love to know as a resident. Could have been so easy to go around the area and pick house or door colours and smells that would TRULY capture this unique part of London......,N/A,N/A,N/A,N/A,"Vrai Vert by A Beautiful Life Brands is a fragrance for women and men. ""A crisp, green, alluring accord of cool cucumber, exotic narcissus, spicy bergamot and coriander, with a touch of fragrant lavender. Evokes long afternoons in a secret garden!"" - a note from the brand.",https://fimgs.net/mdimg/perfume/375x500.47836.jpg,https://www.fragrantica.com/perfume/A-Beautiful-Life-Brands/Vrai-Vert-47836.html
Shakespeare in Love,A Dozen Roses,for women,2011,3.62,110,"rose,white floral,vanilla,woody,fruity,sweet,floral,aquatic,fresh,lactonic",Lynn Emmolo,N/A,"Rose,Gardenia,Jasmine","Vanille,Woodsy Notes",N/A,N/A,"Shakespeare in Love by A Dozen Roses is a Floral Fruity fragrance for women.Shakespeare in Lovewas launched in 2011. The nose behind this fragrance is Lynn Emmolo. Top note is Pear; middle notes are Rose, Gardenia and Jasmine; base notes are Vanille and Woodsy Notes. ""And what love can do that dares love attempt"" William Shakespeare Shakespeare in Love is a red rose composition and the most powerful of all three. The sweet freshness of juicy pear is generously sprinkled over the petals folded in the heart. They open up passionately soon after the first fragrant wave will be gone, shaking off cheerful sweet drops of the initial impression. The pear is still there, hidden in blooms while its cool moisture balances the edgy note of jasmine. The rose shines brightly and its whisper turns into a powerful monologue.",https://fimgs.net/mdimg/perfume/375x500.12960.jpg,https://www.fragrantica.com/perfume/A-Dozen-Roses/Shakespeare-in-Love-12960.html
Composition by ABL,A Beautiful Life Brands,for women and men,N/A,3.25,4,"fruity,mineral,fresh,green,paper",,N/A,N/A,N/A,N/A,N/A,"Composition by ABL by A Beautiful Life Brands is a fragrance for women and men. ""Back-to-school is a time bursting with expectation and new romantic possibility. Summer is over, its bittersweet kiss good-bye faintly lingers as you experience the promise that the changing seasons bring. Composition by ABL is an ode to that feeling of anticipation – a clean, modern, yet sensual accord for men and women. Notes of flinty graphite, bleached white paper, lush green apple, and soft grey woolens will come alive with the warmth of your skin, in a cozy sweater, on a chilly autumn day, as the leaves turn…"" - a note from the brand.",https://fimgs.net/mdimg/perfume/375x500.47824.jpg,https://www.fragrantica.com/perfume/A-Beautiful-Life-Brands/Composition-by-ABL-47824.html
Fawn,A Beautiful Life Brands,for women and men,N/A,3.50,4,"sweet,yellow floral,citrus,powdery,bitter,fresh spicy,aromatic,herbal,green",,N/A,N/A,N/A,N/A,N/A,"Fawn by A Beautiful Life Brands is a Aromatic Green fragrance for women and men. ""There’s something so magical about a walk in the woods; a craggy trail over twisted roots, mossy stones along a silvery brook, shafts of golden sun broken by the lush green boughs overhead. Then the trees part into a clearing, and in the tall grass of the meadow – a Fawn. Fawn by ABL is a fresh, green EDP with a toasty sweet finish. Notes of dandelion, lemongrass, and marshmallow combine to create something surprising and delightful."" - a note from the brand.",https://fimgs.net/mdimg/perfume/375x500.47827.jpg,https://www.fragrantica.com/perfume/A-Beautiful-Life-Brands/Fawn-47827.html
ABL No. 6,A Beautiful Life Brands,for women and men,N/A,1.00,1,"fruity,floral,sweet,fresh,white floral",,N/A,N/A,N/A,N/A,N/A,"ABL No. 6 by A Beautiful Life Brands is a fragrance for women and men. ""A fresh, pretty, and totally original fragrance, perfect for any season. Orchard fruits, pear and fig, blend beautifully with sweet honeysuckle, exotic osmanthus, and fragrant lilac. Deepened by a touch of sandalwood."" - a note from the brand.",https://fimgs.net/mdimg/perfume/375x500.47834.jpg,https://www.fragrantica.com/perfume/A-Beautiful-Life-Brands/ABL-No-6-47834.html
